"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"5.20","0.44","0.04","1.40","0.036","43.00","119.00","0.9894","3.36","0.33","12.10","8"
"5.20","0.44","0.04","1.40","0.036","43.00","119.00","0.9894","3.36","0.33","12.10","8"
"6.40","0.22","0.56","14.50","0.055","27.00","159.00","0.998","2.98","0.40","9.10","5"
"6.30","0.36","0.30","4.80","0.049","14.00","85.00","0.9932","3.28","0.39","10.60","5"
"7.40","0.24","0.42","14.00","0.066","48.00","198.00","0.9979","2.89","0.42","8.90","6"
"6.70","0.24","0.35","13.10","0.05","64.00","205.00","0.997","3.15","0.50","9.50","5"
"8.40","0.27","0.46","8.70","0.048","39.00","197.00","0.9974","3.14","0.59","9.60","6"
"6.70","0.46","0.18","2.40","0.034","25.00","98.00","0.9896","3.08","0.44","12.60","7"
"7.50","0.29","0.31","8.95","0.055","20.00","151.00","0.9968","3.08","0.54","9.30","5"
"9.80","0.42","0.48","9.85","0.034","5.00","110.00","0.9958","2.87","0.29","10.00","5"
"7.10","0.30","0.46","1.50","0.066","29.00","133.00","0.9906","3.12","0.54","12.70","6"
"7.90","0.19","0.45","1.50","0.045","17.00","96.00","0.9917","3.13","0.39","11.00","6"
"7.50","0.27","0.31","17.70","0.051","33.00","173.00","0.999","3.09","0.64","10.20","5"
"6.90","0.23","0.40","7.50","0.04","50.00","151.00","0.9927","3.11","0.27","11.40","6"
"6.40","0.33","0.31","5.50","0.048","42.00","173.00","0.9951","3.19","0.66","9.30","6"
"6.90","0.27","0.40","14.00","0.05","64.00","227.00","0.9979","3.18","0.58","9.60","6"
"6.80","0.26","0.56","11.90","0.043","64.00","226.00","0.997","3.02","0.63","9.30","5"
"6.80","0.29","0.56","11.90","0.043","66.00","230.00","0.9972","3.02","0.63","9.30","5"
"6.70","0.24","0.41","9.40","0.04","49.00","166.00","0.9954","3.12","0.61","9.90","6"
"6.50","0.28","0.28","8.50","0.047","54.00","210.00","0.9962","3.09","0.54","8.90","4"
"6.60","0.28","0.28","8.50","0.052","55.00","211.00","0.9962","3.09","0.55","8.90","6"
"6.80","0.28","0.40","22.00","0.048","48.00","167.00","1.001","2.93","0.50","8.70","5"
"6.60","0.15","0.34","5.10","0.055","34.00","125.00","0.9942","3.36","0.42","9.60","5"
"6.40","0.29","0.44","3.60","0.20","75.00","181.00","0.9942","3.02","0.41","9.10","5"
"6.40","0.30","0.45","3.50","0.197","76.00","180.00","0.9942","3.02","0.39","9.10","6"
"7.10","0.32","0.24","13.10","0.05","52.00","204.00","0.998","3.10","0.49","8.80","5"
"7.10","0.32","0.24","13.10","0.05","52.00","204.00","0.998","3.10","0.49","8.80","5"
"6.90","0.54","0.32","13.20","0.05","53.00","236.00","0.9973","3.20","0.50","9.60","5"
"6.80","0.26","0.34","13.90","0.034","39.00","134.00","0.9949","3.33","0.53","12.00","6"
"5.80","0.28","0.35","2.30","0.053","36.00","114.00","0.9924","3.28","0.50","10.20","4"
"6.40","0.21","0.50","11.60","0.042","45.00","153.00","0.9972","3.15","0.43","8.80","5"
"7.00","0.16","0.32","8.30","0.045","38.00","126.00","0.9958","3.21","0.34","9.20","5"
"10.20","0.44","0.88","6.20","0.049","20.00","124.00","0.9968","2.99","0.51","9.90","4"
"6.80","0.57","0.29","2.20","0.04","15.00","77.00","0.9938","3.32","0.74","10.20","5"
"6.10","0.40","0.31","0.90","0.048","23.00","170.00","0.993","3.22","0.77","9.50","6"
"5.60","0.245","0.25","9.70","0.032","12.00","68.00","0.994","3.31","0.34","10.50","5"
"6.80","0.18","0.38","1.40","0.038","35.00","111.00","0.9918","3.32","0.59","11.20","7"
"7.00","0.16","0.32","8.30","0.045","38.00","126.00","0.9958","3.21","0.34","9.20","5"
"5.80","0.26","0.24","9.20","0.044","55.00","152.00","0.9961","3.31","0.38","9.40","5"
"7.50","0.27","0.36","7.00","0.036","45.00","164.00","0.9939","3.03","0.33","11.00","5"
"5.80","0.26","0.24","9.20","0.044","55.00","152.00","0.9961","3.31","0.38","9.40","5"
"5.70","0.28","0.24","17.50","0.044","60.00","167.00","0.9989","3.31","0.44","9.40","5"
"7.50","0.23","0.36","7.00","0.036","43.00","161.00","0.9938","3.04","0.32","11.00","5"
"7.50","0.27","0.36","7.00","0.036","45.00","164.00","0.9939","3.03","0.33","11.00","5"
"6.20","0.25","0.25","1.40","0.03","35.00","105.00","0.9912","3.30","0.44","11.10","7"
"6.30","0.495","0.22","1.80","0.046","31.00","140.00","0.9929","3.39","0.54","10.40","6"
"7.10","0.24","0.41","17.80",,"39.00","145.00","0.9998","3.32","0.39","8.70","5"
"6.40","0.17","0.32","2.40","0.048","41.00","200.00","0.9938","3.50","0.50","9.70","6"
"7.10","0.24","0.41","17.80",,"39.00","145.00","0.9998","3.32","0.39","8.70","5"
"8.30","0.28","0.40","7.80","0.041","38.00","194.00","0.9976","3.34","0.51","9.60","6"
"8.20","0.27","0.39","7.80","0.039","49.00","208.00","0.9976","3.31","0.51","9.50","6"
"7.20","0.23","0.38","14.30","0.058","55.00","194.00","0.9979","3.09","0.44","9.00","6"
"7.20","0.23","0.38","14.30","0.058","55.00","194.00","0.9979","3.09","0.44","9.00","6"
"7.20","0.23","0.38","14.30","0.058","55.00","194.00","0.9979","3.09","0.44","9.00","6"
"6.80","0.52","0.32","13.20","0.044","54.00","221.00","0.9972","3.27","0.50","9.60","6"
"7.00","0.26","0.59","1.40","0.037","40.00","120.00","0.9918","3.34","0.41","11.10","7"
"6.20","0.25","0.21","15.55","0.039","28.00","159.00","0.9982","3.48","0.64","9.60","6"
"7.70","0.31","0.26","7.80","0.031","23.00","90.00","0.9944","3.13","0.50","10.40","5"
"7.10","0.21","0.37","2.40","0.026","23.00","100.00","0.9903","3.15","0.38","11.40","7"
"6.80","0.24","0.34","2.70","0.047","64.50","218.50","0.9934","3.30","0.58","9.70","6"
"6.90","0.40","0.56","11.20","0.043","40.00","142.00","0.9975","3.14","0.46","8.70","5"
"6.80","0.21","0.27","2.10","0.03","26.00","139.00","0.99","3.16","0.61","12.60","7"
"5.80","0.20","0.27","1.40","0.031","12.00","77.00","0.9905","3.25","0.36","10.90","7"
"5.60","0.19","0.26","1.40","0.03","12.00","76.00","0.9905","3.25","0.37","10.90","7"
"5.90","0.21","0.28","4.60","0.053","40.00","199.00","0.9964","3.72","0.70","10.00","4"
"6.90","0.40","0.56","11.20","0.043","40.00","142.00","0.9975","3.14","0.46","8.70","5"
"5.80","0.24","0.44","3.50","0.029","5.00","109.00","0.9913","3.53","0.43","11.70","3"
"5.80","0.24","0.39","1.50","0.054","37.00","158.00","0.9932","3.21","0.52","9.30","6"
"6.70","0.26","0.39","1.10","0.04","45.00","147.00","0.9935","3.32","0.58","9.60","8"
"6.30","0.35","0.30","5.70","0.035","8.00","97.00","0.9927","3.27","0.41","11.00","7"
"6.90","0.115","0.35","5.40","0.048","36.00","108.00","0.9939","3.32","0.42","10.20","6"
"6.90","0.28","0.40","8.20","0.036","15.00","95.00","0.9944","3.17","0.33","10.20","5"
"7.20","0.29","0.40","13.60","0.045","66.00","231.00","0.9977","3.08","0.59","9.60","6"
"6.90","0.29","0.40","19.45","0.043","36.00","156.00","0.9996","2.93","0.47","8.90","5"
"6.90","0.32","0.26","8.30","0.053","32.00","180.00","0.9965","3.25","0.51","9.20","6"
"5.30","0.585","0.07","7.10","0.044","34.00","145.00","0.9945","3.34","0.57","9.70","6"
"5.40","0.59","0.07","7.00","0.045","36.00","147.00","0.9944","3.34","0.57","9.70","6"
"5.20","0.60","0.07","7.00","0.044","33.00","147.00","0.9944","3.33","0.58","9.70","5"
"5.80","0.25","0.26","13.10","0.051","44.00","148.00","0.9972","3.29","0.38","9.30","5"
"6.60","0.58","0.30","5.10","0.057","30.00","123.00","0.9949","3.24","0.38","9.00","5"
"7.00","0.29","0.54","10.70",,"59.00","234.00","0.9966","3.05","0.61","9.50","5"
"6.60","0.19","0.41","8.90",,"51.00","169.00","0.9954","3.14","0.57","9.80","6"
"6.80","0.32","0.34","1.20","0.044","14.00","67.00","0.9919","3.05","0.47","10.60","4"
"7.00","0.30","0.49","4.70","0.036","17.00","105.00","0.9916","3.26","0.68","12.40","7"
"7.00","0.24","0.36","2.80","0.034","22.00","112.00","0.99","3.19","0.38","12.60","8"
"6.10","0.31","0.58","5.00","0.039","36.00","114.00","0.9909","3.30","0.60","12.30","8"
"6.80","0.44","0.37","5.10","0.047","46.00","201.00","0.9938","3.08","0.65","10.50","4"
"6.70","0.34","0.30","15.60","0.054","51.00","196.00","0.9982","3.19","0.49","9.30","5"
"7.10","0.35","0.24","15.40","0.055","46.00","198.00","0.9988","3.12","0.49","8.80","5"
"7.30","0.32","0.25","7.20","0.056","47.00","180.00","0.9961","3.08","0.47","8.80","5"
"6.50","0.28","0.33","15.70","0.053","51.00","190.00","0.9978","3.22","0.51","9.70","6"
"7.20","0.23","0.39","14.20","0.058","49.00","192.00","0.9979","2.98","0.48","9.00","7"
"7.20","0.23","0.39","14.20","0.058","49.00","192.00","0.9979","2.98","0.48","9.00","7"
"5.90","0.15","0.31","5.80","0.041","53.00","155.00","0.9945","3.52","0.46","10.50","6"
"7.40","0.28","0.42","19.80","0.066","53.00","195.00","1.00","2.96","0.44","9.10","5"
"9.10","0.59","0.38","1.60","0.066","34.00","182.00","0.9968","3.23","0.38","8.50","3"
"6.30","0.33","0.27","1.20",,"34.00","175.00","0.9934","3.37","0.54","9.40","6"
"8.30","0.39","0.70","10.60","0.045","33.00","169.00","0.9976","3.09","0.57","9.40","5"
"7.50","0.17","0.44","11.30",,"65.00","146.00","0.997","3.17","0.45","10.00","6"
"6.10","0.41","0.00","1.60","0.063","36.00","87.00","0.9914","3.27","0.67","10.80","6"
"6.00","0.29","0.21","1.30","0.055","42.00","168.00","0.9914","3.32","0.43","11.10","6"
"7.30","0.41","0.24","6.80","0.057","41.00","163.00","0.9949","3.20","0.41","9.90","6"
"7.20","0.43","0.24","6.70","0.058","40.00","163.00","0.995","3.20","0.41","9.90","5"
"7.30","0.40","0.24","6.70","0.058","41.00","166.00","0.995","3.20","0.41","9.90","6"
"6.20","0.33","0.27","4.90","0.036","30.00","134.00","0.9927","3.20","0.42","10.40","7"
"6.20","0.31","0.26","4.80","0.037","36.00","148.00","0.9928","3.21","0.41","10.40","6"
"6.10","0.36","0.27","2.10","0.035","16.00","100.00","0.9917","3.40","0.71","11.50","7"
"7.80","0.25","0.41","3.70","0.042","37.00","149.00","0.9954","3.36","0.45","10.00","6"
"5.80","0.34","0.21","6.60","0.04","50.00","167.00","0.9941","3.29","0.62","10.00","5"
"5.90","0.30","0.47","7.85","0.03","19.00","133.00","0.9933","3.52","0.43","11.50","7"
"6.60","0.24","0.35","7.70","0.031","36.00","135.00","0.9938","3.19","0.37","10.50","5"
"6.80","0.25","0.34","4.70","0.031","34.00","134.00","0.9927","3.21","0.38","10.60","6"
"6.80","0.28","0.44","9.30","0.031","35.00","137.00","0.9946","3.16","0.36","10.40","6"
"8.30","0.41","0.51","2.00",,"11.00","207.00","0.993","3.02","0.55","11.40","5"
"7.50","0.27","0.31","5.80","0.057","131.00","313.00","0.9946","3.18","0.59","10.50","5"
"7.90","0.26","0.41","15.15","0.04","38.00","216.00","0.9976","2.96","0.60","10.00","6"
"6.40","0.34","0.23","6.30","0.039","37.00","143.00","0.9944","3.19","0.65","10.00","6"
"6.50","0.28","0.35","15.40","0.042","55.00","195.00","0.9978","3.23","0.50","9.60","6"
"6.40","0.32","0.35","4.80","0.03","34.00","101.00","0.9912","3.36","0.60","12.50","8"
"6.30","0.23","0.30","1.80","0.033","16.00","91.00","0.9906","3.28","0.40","11.80","6"
"6.30","0.23","0.30","1.80","0.033","16.00","91.00","0.9906","3.28","0.40","11.80","6"
"6.30","0.23","0.33","1.50","0.036","15.00","105.00","0.991","3.32","0.42","11.20","6"
"5.80","0.27","0.27","12.30","0.045","55.00","170.00","0.9972","3.28","0.42","9.30","6"
"5.90","0.26","0.40","1.30","0.047","12.00","139.00","0.9945","3.45","0.53","10.40","5"
"6.60","0.18","0.35","1.50","0.049","49.00","141.00","0.9934","3.43","0.85","10.20","7"
"7.40","0.20","0.43","7.80","0.045","27.00","153.00","0.9964","3.19","0.55","9.00","7"
"8.00","0.24","0.36","1.50","0.047","17.00","129.00","0.9948","3.20","0.54","10.00","6"
"6.40","0.26","0.42","9.70","0.044","30.00","140.00","0.9962","3.18","0.47","9.10","6"
"5.40","0.31","0.47","3.00","0.053","46.00","144.00","0.9931","3.29","0.76","10.00","5"
"5.60","0.34","0.10","1.30","0.031","20.00","68.00","0.9906","3.36","0.51","11.20","7"
"6.70","0.19","0.41","15.60","0.056","75.00","155.00","0.9995","3.20","0.44","8.80","6"
"7.80","0.18","0.46","13.60","0.052","38.00","118.00","0.998","3.15","0.50","10.00","6"
"6.30","0.12","0.36","2.10","0.044","47.00","146.00","0.9914","3.27","0.74","11.40","7"
"7.30","0.33","0.40","6.85","0.038","32.00","138.00","0.992","3.03","0.30","11.90","7"
"5.50","0.335","0.30","2.50","0.071","27.00","128.00","0.9924","3.14","0.51","9.60","6"
"7.30","0.33","0.40","6.85","0.038","32.00","138.00","0.992","3.03","0.30","11.90","7"
"5.80","0.40","0.42","4.40","0.047","38.50","245.00","0.9937","3.25","0.57","9.60","6"
"7.30","0.22","0.37","14.30","0.063","48.00","191.00","0.9978","2.89","0.38","9.00","6"
"6.40","0.24","0.32","14.90","0.047","54.00","162.00","0.9968","3.28","0.50","10.20","6"
"6.80","0.15","0.30","5.30","0.05","40.00","127.00","0.9942","3.40","0.39","9.70","6"
"6.80","0.16","0.40","2.30","0.037","18.00","102.00","0.9923","3.49","0.42","11.40","7"
"7.10","0.39","0.35","12.50","0.044","26.00","72.00","0.9941","3.17","0.29","11.60","5"
"6.60","0.905","0.19","0.80","0.048","17.00","204.00","0.9934","3.34","0.56","10.00","5"
"7.20","0.27","0.27","2.40","0.048","30.00","149.00","0.9936","3.10","0.51","9.20","6"
"5.10","0.33","0.22","1.60","0.027","18.00","89.00","0.9893","3.51","0.38","12.50","7"
"6.40","0.31","0.28","1.50","0.037","12.00","119.00","0.9919","3.32","0.51","10.40","7"
"5.70","0.32","0.50","2.60","0.049","17.00","155.00","0.9927","3.22","0.64","10.00","6"
"7.30","0.20","0.44","1.40","0.045","21.00","98.00","0.9924","3.15","0.46","10.00","7"
"7.20","0.28","0.26","12.50",,"48.00","179.00","0.9975","3.10","0.52","9.00","6"
"7.50","0.35","0.28","9.60","0.051","26.00","157.00","0.9969","3.12","0.53","9.20","6"
"7.20","0.27","0.27","2.40","0.048","30.00","149.00","0.9936","3.10","0.51","9.20","6"
"6.00","0.36","0.39","3.20","0.027","20.00","125.00","0.991","3.38","0.39","11.30","7"
"5.10","0.33","0.22","1.60","0.027","18.00","89.00","0.9893","3.51","0.38","12.50","7"
"7.00","0.30","0.38","14.90","0.032","60.00","181.00","0.9983","3.18","0.61","9.30","7"
"7.00","0.30","0.38","14.90","0.032","60.00","181.00","0.9983","3.18","0.61","9.30","7"
"6.50","0.36","0.32","1.10","0.031","13.00","66.00","0.9916","3.10","0.46","10.60","5"
"7.30","0.24","0.43","2.00","0.021","20.00","69.00","0.99","3.08","0.56","12.20","6"
"6.80","0.37","0.51","11.80","0.044","62.00","163.00","0.9976","3.19","0.44","8.80","5"
"6.80","0.27","0.12","1.30","0.04","87.00","168.00","0.992","3.18","0.41","10.00","5"
"8.20","0.28","0.42","1.80","0.031","30.00","93.00","0.9917","3.09","0.39","11.40","5"
"6.30","0.20","0.40","1.50","0.037","35.00","107.00","0.9917","3.46","0.50","11.40","6"
"5.90","0.26","0.27","18.20","0.048","52.00","168.00","0.9993","3.35","0.44","9.40","5"
"6.40","0.19","0.42","2.90","0.032","32.00","83.00","0.9908","3.30","0.41","11.70","6"
"6.10","0.35","0.07","1.40","0.069","22.00","108.00","0.9934","3.23","0.52","9.20","5"
"7.10","0.27","0.31","18.20",,"55.00","252.00","1.00","3.07","0.56","8.70","5"
"6.80","0.22","0.31","6.30","0.035","33.00","170.00","0.9918","3.24","0.66","12.60","6"
"6.80","0.27","0.12","1.30","0.04","87.00","168.00","0.992","3.18","0.41","10.00","5"
"6.90","0.49","0.24","1.20","0.049","13.00","125.00","0.9932","3.17","0.51","9.40","5"
"6.30","0.14","0.39","1.20","0.044","26.00","116.00","0.992","3.26","0.53","10.30","6"
"8.20","0.28","0.42","1.80","0.031","30.00","93.00","0.9917","3.09","0.39","11.40","5"
"7.20","0.25","0.39","18.95","0.038","42.00","155.00","0.9999","2.97","0.47","9.00","6"
"7.30","0.28","0.36","12.70","0.04","38.00","140.00","0.998","3.30","0.79","9.60","6"
"7.20","0.19","0.39","1.20","0.036","32.00","85.00","0.9918","3.16","0.50","10.50","5"
"7.20","0.19","0.39","1.20","0.036","32.00","85.00","0.9918","3.16","0.50","10.50","5"
"7.30","0.28","0.36","12.70","0.04","38.00","140.00","0.998","3.30","0.79","9.60","6"
"6.80","0.26","0.22","7.70","0.047","57.00","210.00","0.9959","3.10","0.47","9.00","5"
"7.40","0.21","0.27","1.20","0.041","27.00","99.00","0.9927","3.19","0.33","9.80","6"
