"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"7.20","0.21","0.41","1.30","0.036","33.00","85.00","0.992","3.17","0.51","10.40","5"
"6.80","0.24","0.34","4.60","0.032","37.00","135.00","0.9927","3.20","0.39","10.60","5"
"6.50","0.28","0.34","9.90","0.038","30.00","133.00","0.9954","3.11","0.44","9.80","5"
"5.60","0.26","0.26","5.70","0.031","12.00","80.00","0.9923","3.25","0.38","10.80","5"
"5.40","0.29","0.47","3.00","0.052","47.00","145.00","0.993","3.29","0.75","10.00","6"
"7.10","0.145","0.33","4.60","0.05","33.00","131.00","0.9942","3.28","0.40","9.60","6"
"7.60","0.17","0.45","11.20","0.054","56.00","137.00","0.997","3.15","0.47","10.00","5"
"7.30","0.22","0.37","14.30","0.063","48.00","191.00","0.9978","2.89","0.38","9.00","6"
"6.10","0.36","0.33","1.10","0.05","24.00","169.00","0.9927","3.15","0.78","9.50","6"
"10.00","0.20","0.39","1.40","0.05","19.00","152.00","0.994","3.00","0.42","10.40","6"
"6.90","0.24","0.34","4.70","0.04","43.00","161.00","0.9935","3.20","0.59","10.60","6"
"7.10","0.365","0.14","1.20","0.055","24.00","84.00","0.9941","3.15","0.43","8.90","5"
"7.30","0.22","0.37","14.30","0.063","48.00","191.00","0.9978","2.89","0.38","9.00","6"
"6.00","0.26","0.32","3.50","0.028","29.00","113.00","0.9912","3.40","0.71","12.30","7"
"6.00","0.18","0.27","1.50","0.089","40.00","143.00","0.9923","3.49","0.62","10.80","6"
"6.90","0.33","0.21","1.00","0.053","39.00","148.00","0.9927","3.12","0.45","9.40","6"
"7.70","0.29","0.48","2.30","0.049","36.00","178.00","0.9931","3.17","0.64","10.60","6"
"6.90","0.33","0.21","1.00","0.053","39.00","148.00","0.9927","3.12","0.45","9.40","6"
"7.70","0.29","0.48","2.30","0.049","36.00","178.00","0.9931","3.17","0.64","10.60","6"
"5.10","0.33","0.22","1.60","0.027","18.00","89.00","0.9893","3.51","0.38","12.50","7"
"7.30","0.20","0.44","1.40","0.045","21.00","98.00","0.9924","3.15","0.46","10.00","7"
"6.40","0.31","0.28","1.50","0.037","12.00","119.00","0.9919","3.32","0.51","10.40","7"
"5.00","0.17","0.56","1.50","0.026","24.00","115.00","0.9906","3.48","0.39","10.80","7"
"6.30","0.39","0.35","5.90","0.04","82.50","260.00","0.9941","3.12","0.66","10.10","5"
"6.70","0.21","0.32","5.40","0.047","29.00","140.00","0.995","3.39","0.46","9.70","6"
"6.10","0.55","0.15","9.80","0.031","19.00","125.00","0.9957","3.36","0.47","10.20","6"
"6.30","0.20","0.40","1.50","0.037","35.00","107.00","0.9917","3.46","0.50","11.40","6"
"6.80","0.37","0.51","11.80","0.044","62.00","163.00","0.9976","3.19","0.44","8.80","5"
"5.80","0.28","0.34","4.00","0.031","40.00","99.00","0.9896","3.39","0.39","12.80","7"
"7.20","0.25","0.39","18.95","0.038","42.00","155.00","0.9999","2.97","0.47","9.00","6"
"7.40","0.21","0.27","1.20","0.041","27.00","99.00","0.9927","3.19","0.33","9.80","6"
"7.00","0.21","0.28","8.70","0.045","37.00","222.00","0.9954","3.25","0.54","10.40","6"
"7.00","0.21","0.28","8.70","0.045","37.00","222.00","0.9954","3.25","0.54","10.40","6"
"7.00","0.21","0.28","8.60","0.045","37.00","221.00","0.9954","3.25","0.54","10.40","6"
"7.40","0.155","0.34","2.30","0.045","73.50","214.00","0.9934","3.18","0.61","9.90","7"
"6.10","0.28","0.32","2.50","0.042","23.00","218.50","0.9935","3.27","0.60","9.80","5"
"7.40","0.155","0.34","2.30","0.045","73.50","214.00","0.9934","3.18","0.61","9.90","7"
"6.50","0.41","0.24","14.00","0.048","24.00","113.00","0.9982","3.44","0.53","9.80","6"
"6.40","0.28","0.29","1.60","0.052","34.00","127.00","0.9929","3.48","0.56","10.50","7"
"7.20","0.60","0.20","9.90","0.07","21.00","174.00","0.9971","3.03","0.54","9.10","5"
"6.10","0.20","0.25","1.20","0.038","34.00","128.00","0.9921","3.24","0.44","10.10","5"
"6.40","0.41","0.24","14.00","0.048","24.00","113.00","0.9982","3.44","0.53","9.80","6"
"8.60","0.37","0.70","12.15","0.039","21.00","158.00","0.9983","3.00","0.73","9.30","6"
"7.00","0.17","0.31","4.80","0.034","34.00","132.00","0.9944","3.36","0.48","9.60","7"
"7.40","0.28","0.36","1.10","0.028","42.00","105.00","0.9893","2.99","0.39","12.40","7"
"6.70","0.47","0.34","8.90","0.043","31.00","172.00","0.9964","3.22","0.60","9.20","5"
"6.70","0.47","0.34","8.90","0.043","31.00","172.00","0.9964","3.22","0.60","9.20","5"
"6.20","0.18","0.38","1.50","0.028","36.00","117.00","0.993","3.47","0.54","9.70","6"
"6.30","0.19","0.28","1.80","0.022","28.00","158.00","0.9907","3.20","0.64","11.40","6"
"7.80","0.28","0.32","9.00","0.036","34.00","115.00","0.9952","3.17","0.39","10.30","7"
"6.10","0.31","0.26","2.20","0.051","28.00","167.00","0.9926","3.37","0.47","10.40","6"
"6.90","0.25","0.40","1.30","0.038","22.00","101.00","0.9901","3.03","0.39","11.40","6"
"5.80","0.36","0.32","1.70","0.033","22.00","96.00","0.9898","3.03","0.38","11.20","6"
"5.60","0.35","0.37","1.00","0.038","6.00","72.00","0.9902","3.37","0.34","11.40","5"
"7.20","0.31","0.46","5.00","0.04","3.00","29.00","0.9906","3.04","0.53","12.50","4"
"7.90","0.345","0.51","15.30","0.047","54.00","171.00","0.9987","3.09","0.51","9.10","5"
"7.40","0.25","0.36","13.20","0.067","53.00","178.00","0.9976","3.01","0.48","9.00","6"
"6.70","0.31","0.31","9.90","0.04","10.00","175.00","0.9953","3.46","0.55","11.40","4"
"6.30","0.26","0.24","7.20","0.039","38.00","172.00","0.9958","3.49","0.64","9.70","6"
"6.50","0.18","0.31","1.70","0.044","30.00","127.00","0.9928","3.49","0.50","10.20","7"
"7.20","0.46","0.65","10.40","0.05","76.00","192.00","0.9976","3.16","0.42","8.70","5"
"9.20","0.25","0.34","1.20","0.026","31.00","93.00","0.9916","2.93","0.37","11.30","7"
"8.40","0.35","0.71","12.20","0.046","22.00","160.00","0.9982","2.98","0.65","9.40","5"
"5.90","0.21","0.24","12.10","0.044","53.00","165.00","0.9969","3.25","0.39","9.50","5"
"6.70","0.21","0.42","9.10","0.049","31.00","150.00","0.9953","3.12","0.74","9.90","7"
"7.70","0.34","0.27","8.80","0.063","39.00","184.00","0.9969","3.09","0.63","9.20","6"
"7.40","0.30","0.22","1.40","0.046","16.00","135.00","0.9928","3.08","0.77","10.40","7"
"6.80","0.51","0.30","4.20","0.066","38.00","165.00","0.9945","3.20","0.42","9.10","5"
"7.80","0.22","0.38","10.30","0.059","28.00","99.00","0.9967","3.12","0.47","10.00","6"
"7.20","0.35","0.34","12.40","0.051","6.00","37.00","0.9944","3.13","0.39","11.50","6"
"6.70","0.34","0.54","16.30","0.047","44.00","181.00","0.9987","3.04","0.56","8.80","5"
"7.40","0.41","0.66","10.80","0.051","77.00","194.00","0.9976","3.05","0.46","8.70","5"
"7.40","0.26","0.30","7.90","0.049","38.00","157.00","0.9963","3.13","0.48","8.90","6"
"6.90","0.28","0.27","2.10","0.036","42.00","121.00","0.9926","3.42","0.49","10.80","7"
"7.30","0.20","0.37","1.20","0.037","48.00","119.00","0.992","3.32","0.49","10.90","6"
"6.40","0.475","0.06","1.00","0.03","9.00","131.00","0.9904","2.97","0.29","10.80","5"
"5.90","0.27","0.29","11.40","0.036","31.00","115.00","0.9949","3.35","0.48","10.50","8"
"6.40","0.475","0.06","1.00","0.03","9.00","131.00","0.9904","2.97","0.29","10.80","5"
"6.30","0.26","0.49","1.50","0.052","34.00","134.00","0.9924","2.99","0.61","9.80","6"
"7.30","0.25","0.29","7.50","0.049","38.00","158.00","0.9965","3.43","0.38","9.60","5"
"7.30","0.25","0.29","7.50","0.049","38.00","158.00","0.9965","3.43","0.38","9.60","5"
"7.40","0.37","0.35","5.70","0.061","12.00","94.00","0.9965","3.48","0.69","10.70","6"
"6.50","0.36","0.28","3.20","0.037","29.00","119.00","0.9908","3.25","0.65","12.40","8"
"7.40","0.24","0.40","4.30","0.032","9.00","95.00","0.992","3.09","0.39","11.10","6"
"7.50","0.21","0.68","10.90","0.045","38.00","133.00","0.9978","3.00","0.36","8.70","5"
"7.40","0.19","0.30","1.40","0.057","33.00","135.00","0.993","3.12","0.50","9.60","6"
"5.30","0.32","0.12","6.60","0.043","22.00","141.00","0.9937","3.36","0.60","10.40","6"
"7.20","0.24","0.34","1.10","0.045","3.00","64.00","0.9913","3.23","0.51","11.40","5"
"5.80","0.31","0.33","1.20","0.036","23.00","99.00","0.9916","3.18","0.60","10.50","6"
"6.00","0.29","0.20","12.60","0.045","45.00","187.00","0.9972","3.33","0.42","9.50","5"
"6.20","0.17","0.28","4.70","0.037","39.00","133.00","0.9931","3.41","0.46","10.80","7"
"5.60","0.235","0.29","1.20","0.047","33.00","127.00","0.991","3.34","0.50","11.00","7"
"6.30","0.21","0.33","13.90","0.046","68.00","179.00","0.9971","3.36","0.50","10.40","6"
"6.00","0.32","0.12","5.90","0.041","34.00","190.00","0.9944","3.16","0.72","10.00","5"
"5.90","0.24","0.26","12.30","0.053","34.00","134.00","0.9972","3.34","0.45","9.50","6"
"9.00","0.27","0.35","4.90","0.028","27.00","95.00","0.9932","3.04","0.40","11.30","6"
"6.80","0.29","0.16","1.40","0.038","122.50","234.50","0.9922","3.15","0.47","10.00","4"
"7.10","0.17","0.38","7.40","0.052","49.00","182.00","0.9958","3.35","0.52","9.60","6"
"5.90","0.29","0.25","12.00","0.057","48.00","224.00","0.9981","3.23","0.41","9.00","6"
"5.80","0.32","0.38","4.75","0.033","23.00","94.00","0.991","3.42","0.42","11.80","7"
"5.70","0.32","0.38","4.75","0.033","23.00","94.00","0.991","3.42","0.42","11.80","7"
"6.40","0.27","0.32","4.50","0.24","61.00","174.00","0.9948","3.12","0.48","9.40","5"
"6.00","0.36","0.16","6.30","0.036","36.00","191.00","0.9942","3.17","0.62","9.80","5"
"7.50","0.31","0.51","14.80","0.039","62.00","204.00","0.9982","3.06","0.60","9.50","5"
"7.40","0.31","0.48","14.20","0.042","62.00","204.00","0.9983","3.06","0.59","9.40","5"
"5.90","0.34","0.22","2.40","0.03","19.00","135.00","0.9894","3.41","0.78","13.90","7"
"6.00","0.39","0.26","2.70","0.038","39.00","187.00","0.99325","3.41","0.50","10.80","6"
"7.00","0.27","0.41","18.75","0.042","34.00","157.00","1.0002","2.96","0.50","9.10","5"
"7.40","0.29","0.50","1.80","0.042","35.00","127.00","0.9937","3.45","0.50","10.20","7"
"6.40","0.16","0.31","5.30","0.043","42.00","157.00","0.99455","3.35","0.47","10.50","5"
"8.80","0.28","0.45","6.00","0.022","14.00","49.00","0.9934","3.01","0.33","11.10","7"
"6.90","0.39","0.40","4.60","0.022","5.00","19.00","0.9915","3.31","0.37","12.60","3"
"5.80","0.20","0.30","1.50","0.031","21.00","57.00","0.99115","3.44","0.55","11.00","6"
"7.40","0.20","1.66","2.10","0.022","34.00","113.00","0.99165","3.26","0.55","12.20","6"
"7.00","0.21","0.34","8.50","0.033","31.00","253.00","0.9953","3.22","0.56","10.50","6"
"7.20","0.29","0.40","7.60","0.024","56.00","177.00","0.9928","3.04","0.32","11.50","6"
"7.20","0.29","0.40","7.60","0.024","56.00","177.00","0.9928","3.04","0.32","11.50","6"
"5.90","0.35","0.47","2.20","0.11","14.00","138.00","0.9932","3.09","0.50","9.10","5"
"7.10","0.28","0.44","1.80","0.032","32.00","107.00","0.9907","3.25","0.48","12.20","7"
"5.80","0.25","0.28","11.10","0.056","45.00","175.00","0.99755","3.42","0.43","9.50","5"
"6.80","0.22","0.37","15.20","0.051","68.00","178.00","0.99935","3.40","0.85","9.30","6"
"7.00","0.20","0.38","8.10","0.05","42.00","173.00","0.99585","3.30","0.54","9.80","6"
"5.00","0.44","0.04","18.60","0.039","38.00","128.00","0.9985","3.37","0.57","10.20","6"
"6.30","0.30","0.28","5.00","0.042","36.00","168.00","0.99505","3.22","0.69","9.50","6"
"6.70","0.50","0.63","13.40","0.078","81.00","238.00","0.9988","3.08","0.44","9.20","5"
"6.70","0.11","0.34","8.80","0.043","41.00","113.00","0.9962","3.42","0.40","9.30","7"
"6.80","0.12","0.31","5.20","0.045","29.00","120.00","0.9942","3.41","0.46","9.80","7"
"6.60","0.21","0.60","1.10","0.135","61.00","144.00","0.9927","3.12","0.39","9.30","7"
"7.20","0.23","0.19","13.70","0.052","47.00","197.00","0.99865","3.12","0.53","9.00","5"
"6.90","0.22","0.37","15.00","0.053","59.00","178.00","0.9992","3.37","0.82","9.50","7"
"8.10","0.17","0.44","14.10","0.053","43.00","145.00","1.0006","3.28","0.75","8.80","8"
"7.60","0.30","0.27","10.60","0.039","31.00","119.00","0.99815","3.27","0.30","9.30","6"
"7.60","0.30","0.27","10.60","0.039","31.00","119.00","0.99815","3.27","0.30","9.30","6"
"6.40","0.46","0.08","4.90","0.046","34.00","144.00","0.99445","3.10","0.56","10.00","5"
"7.20","0.31","0.26","7.30","0.05","37.00","157.00","0.99625","3.09","0.43","9.00","5"
"6.90","0.24","0.33","12.50","0.046","47.00","153.00","0.9983","3.28","0.77","9.60","6"
"5.40","0.18","0.24","4.80","0.041","30.00","113.00","0.99445","3.42","0.40","9.40","6"
"6.80","0.39","0.35","11.60","0.044","57.00","220.00","0.99775","3.07","0.53","9.30","5"
"6.00","0.39","0.17","12.00","0.046","65.00","246.00","0.9976","3.15","0.38","9.00","6"
"7.40","0.17","0.40","5.50","0.037","34.00","161.00","0.9935","3.05","0.62","11.50","4"
"7.30","0.25","0.36","2.10","0.034","30.00","177.00","0.99085","3.25","0.40","11.90","8"
"7.30","0.25","0.36","2.10","0.034","30.00","177.00","0.99085","3.25","0.40","11.90","8"
"7.50","0.34","0.35","6.00","0.034","12.00","126.00","0.9924","3.16","0.39","12.00","7"
"8.70","0.23","0.32","13.40","0.044","35.00","169.00","0.99975","3.12","0.47","8.80","7"
"6.90","0.19","0.35","1.70","0.036","33.00","101.00","0.99315","3.21","0.54","10.80","7"
"6.60","0.22","0.37","15.40","0.035","62.00","153.00","0.99845","3.02","0.40","9.30","5"
"6.90","0.19","0.35","1.70","0.036","33.00","101.00","0.99315","3.21","0.54","10.80","7"
"8.20","0.38","0.49","13.60","0.042","58.00","166.00","0.99855","3.10","0.54","9.40","5"
"8.20","0.40","0.48","13.70","0.042","59.00","169.00","0.9986","3.10","0.52","9.40","5"
"7.30","0.25","0.42","14.20","0.041","57.00","182.00","0.9996","3.29","0.75","9.10","7"
"4.80","0.34","0.00","6.50","0.028","33.00","163.00","0.9939","3.36","0.61","9.90","6"
"7.80","0.18","0.46","12.60","0.042","41.00","143.00","1.00","3.24","0.76","8.50","8"
"7.30","0.28","0.42","14.40","0.04","49.00","173.00","0.9994","3.28","0.82","9.00","7"
"7.70","0.34","0.58","11.10","0.039","41.00","151.00","0.9978","3.06","0.49","8.60","5"
"7.70","0.15","0.29","1.30","0.029","10.00","64.00","0.9932","3.35","0.39","10.10","5"
"6.00","0.28","0.34","1.60","0.119","33.00","104.00","0.9921","3.19","0.38","10.20","6"
"6.80","0.23","0.29","12.20","0.035","38.00","236.00","0.9976","3.35","0.52","9.80","6"
"7.30","0.26","0.31","1.60","0.04","39.00","173.00","0.9918","3.19","0.51","11.40","6"
"7.30","0.26","0.31","1.60","0.04","39.00","173.00","0.9918","3.19","0.51","11.40","6"
"5.80","0.26","0.18","1.20","0.031","40.00","114.00","0.9908","3.42","0.40","11.00","7"
"5.90","0.26","0.30","1.00","0.036","38.00","114.00","0.9928","3.58","0.48","9.40","5"
"7.00","0.31","0.29","1.40","0.037","33.00","128.00","0.9896","3.12","0.36","12.20","7"
"7.00","0.29","0.26","1.60","0.044","12.00","87.00","0.9923","3.08","0.46","10.50","6"
"6.60","0.26","0.29","1.40","0.039","13.00","67.00","0.9915","3.05","0.49","10.90","6"
"5.90","0.31","0.30","7.70","0.047","60.00","206.00","0.995","3.20","0.39","9.60","6"
"8.40","0.19","0.42","1.60","0.047","9.00","101.00","0.994","3.06","0.65","11.10","4"
"8.30","0.27","0.45","1.30","0.048","8.00","72.00","0.9944","3.08","0.61","10.30","4"
"7.10","0.25","0.39","2.10","0.036","30.00","124.00","0.9908","3.28","0.43","12.20","8"
"6.20","0.33","0.19","5.60","0.042","22.00","143.00","0.99425","3.15","0.63","9.90","5"
"7.70","0.30","0.32","1.60","0.037","23.00","124.00","0.9919","2.93","0.33","11.00","6"
"7.00","0.24","0.34","1.40","0.031","27.00","107.00","0.99","3.06","0.39","11.90","6"
"8.60","0.18","0.40","1.10","0.04","20.00","107.00","0.9923","2.94","0.32","10.20","7"
"7.70","0.32","0.62","10.60","0.036","56.00","153.00","0.9978","3.13","0.44","8.90","6"
"7.70","0.32","0.62","10.60","0.036","56.00","153.00","0.9978","3.13","0.44","8.90","6"
"7.90","0.28","0.41","2.00","0.044","50.00","152.00","0.9934","3.45","0.49","10.70","8"
"7.70","0.17","0.52","5.90","0.017","21.00","84.00","0.9929","3.14","0.40","11.90","7"
"6.40","0.43","0.32","1.40","0.048","10.00","67.00","0.992","3.08","0.41","11.40","5"
"6.10","0.36","0.58","15.00","0.044","42.00","115.00","0.9978","3.15","0.51","9.00","5"
"6.70","0.15","0.29","5.00","0.058","28.00","105.00","0.9946","3.52","0.44","10.20","7"
